title,main_goal_and_aims,Questions,Purpose,Approaches,Findings,Categories,DataTier,Team,combined_text,Extracted Team Info,Roles,Researchers,Institutions,Individuals Per Team,Unique Individuals Per Entry,Unique Institutions Per Entry,Is Multi-Institutional
Predictive Analysis of Whole Health Metrics on Chronic Health Outcomes,"This study will primarily investigate whether a multidimensional whole health index, integrating measures of physical, mental, social, environmental, and financial well-being, offers a more robust prediction of chronic disease risk – including type 2 diabetes, cardiovascular diseases, and certain cancers…","Scientific Questions Being Studied
This study will primarily investigate whether a multidimensional whole health index, integrating measures of physical, mental, social, environmental, and financial well-being, offers a more robust prediction of chronic disease risk – including type 2 diabetes, cardiovascular diseases, and certain cancers – within the ""All of Us"" cohort compared to traditional risk models that often rely heavily on clinical factors. Additionally, the research will explore if and how disparities across demographic groups (age, gender, race/ethnicity, socioeconomic status) are reflected in variations in these whole health metrics and whether these variations potentially explain differences in chronic disease burden.   A successful outcome could enhance chronic disease prediction capabilities, empowering healthcare providers with more accurate tools for early intervention and personalized prevention strategies.","Project Purpose(s)
Population Health","Scientific Approaches
My research methods will begin with exploratory data analysis (EDA), including visualizations, descriptive statistics, and correlation matrices to gain a comprehensive understanding of data distributions and relationships among variables.  Operationalizing whole health domains into quantifiable metrics will be crucial (for example, using survey scores validated for mental health assessment ). Factor analysis will be employed to reduce dimensionality within the dataset. Regression analysis will then determine the relationships between the whole health index and chronic disease outcomes while controlling for confounding factors. Finally, I'll leverage machine learning models, such as Gradient Boosting Machines and Neural Networks, to enhance predictive capabilities, identify key features, and effectively model complex interactions","Anticipated Findings
The overarching hypothesis is that the multidimensional whole health index will significantly outperform traditional risk models for chronic disease prediction. Additionally, it's anticipated that certain whole health domains might emerge as particularly strong predictors for specific chronic diseases (e.g., the role of social isolation in cardiovascular health). Crucially, the study aims to unveil how variations in whole health metrics align with patterns of chronic disease distribution across demographic groups, providing a foundation for understanding the mechanisms driving health disparities. These findings have the potential to revolutionize how we approach chronic disease risk assessment, going beyond isolated risk factors to a more holistic and personalized framework. The identified key whole health metrics will pinpoint crucial areas for targeted interventions at both the individual and population health level.","Demographic Categories of Interest
Race / Ethnicity
Access to Care
Income Level","Data Set Used
Controlled Tier","Research Team
Owner:
William  Navarrete Moreno
- Undergraduate Student, University of Colorado, Denver","Predictive Analysis of Whole Health Metrics on Chronic Health Outcomes This study will primarily investigate whether a multidimensional whole health index, integrating measures of physical, mental, social, environmental, and financial well-being, offers a more robust prediction of chronic disease risk – including type 2 diabetes, cardiovascular diseases, and certain cancers…","1. ['Owner', 'Undergraduate Student']
2. ['William Navarrete Moreno']
3. ['University of Colorado, Denver']","['Owner', 'Undergraduate Student']",['William Navarrete Moreno'],"['University of Colorado, Denver']",1,1,1,FALSE
Social Determinants of Health in Cardiac Rehab,"The association between participation in cardiac rehabilitation (CR) and improved cardiovascular outcomes, including reductions in recurrent cardiovascular events, readmissions, mortality, and depression and anxiety is well described. Previous studies have demonstrated racial and ethnic differences in CR participation, as well…","Scientific Questions Being Studied
The association between participation in cardiac rehabilitation (CR) and improved cardiovascular outcomes, including reductions in recurrent cardiovascular events, readmissions, mortality, and depression and anxiety is well described. Previous studies have demonstrated racial and ethnic differences in CR participation, as well as the influence of socioeconomic factors on differences in participation in CR between racial and ethnic groups. Few studies have explored racial differences in CR outcomes, as well as the impact of other social factors, including household composition, primary language, health literacy, and employment status, on CR participation. Identifying these factors can allow for the timely and targeted development of interventions to increase initiation of CR, especially among minority populations, and improve long term outcomes of cardiovascular disease.","Project Purpose(s)
Social / Behavioral","Scientific Approaches
I plan to perform a retrospective cohort study on adults ≥18 years with first time CR-qualifying diagnoses per ICD coding, with qualifying individuals grouped into CR initiation and non-initiation groups. Bivariate associations will be made between the two groups based on characteristics including race, copayment, primary language, household composition, and employment status, with a t test used for continuous variables and a chi-square test for categorical variables. Groups will be compared CR initiator and non-initiators will also be compared for overall survival, and then stratified by racial differences. A logistic regression model will also be constructed to to predict CR initiation as a function of variables including race, copayment, primary language, household composition, and employment status.","Anticipated Findings
Given that participation in CR has been historically and significantly lower in Asian, Black, and Hispanic populations compared to White individuals, further exploration into the socioeconomic factors that influence racial differences in utilization of CR services and their possible ramifications on long-term mortality and other clinical endpoints is urgently warranted.","Demographic Categories of Interest
Race / Ethnicity
Access to Care","Data Set Used
Registered Tier","Research Team
Owner:
Elizabeth Chang
- Research Fellow, Medical College of Wisconsin","Social Determinants of Health in Cardiac Rehab The association between participation in cardiac rehabilitation (CR) and improved cardiovascular outcomes, including reductions in recurrent cardiovascular events, readmissions, mortality, and depression and anxiety is well described. Previous studies have demonstrated racial and ethnic differences in CR participation, as well…","1. ['Owner', 'Research Fellow']
2. ['Elizabeth Chang']
3. ['Medical College of Wisconsin']","['Owner', 'Research Fellow']",['Elizabeth Chang'],['Medical College of Wisconsin'],1,1,1,FALSE
Cardiovascular Outcomes in Minoritized Populations,"Objective: To investigate whether neighborhood-level measures of socioeconomic status, built environment, social cohesion, and access to resources are associated with hypertensive disorders of pregnancy and other adverse cardiovascular outcomes among pregnant women. Data Sources: We will leverage multiple data sources…","Scientific Questions Being Studied
Objective: To investigate whether neighborhood-level measures of socioeconomic status, built environment, social cohesion, and access to resources are associated with hypertensive disorders of pregnancy and other adverse cardiovascular outcomes among pregnant women.
Data Sources: We will leverage multiple data sources from the All of Us research program:
Participant surveys, Electronic health records, Census and administrative data linked at the census tract level
Outcomes: Primary - Hypertensive disorders of pregnancy (gestational hypertension, preeclampsia)
Secondary - Peripartum cardiomyopathy, pulmonary edema, stroke, myocardial infarction
Analysis Plan: We will use multivariable logistic regression to evaluate associations between quartiles of neighborhood-level variables and cardiovascular outcomes, adjusting for individual confounders. Interaction terms will assess effect modification by individual-level socioeconomic status.","Project Purpose(s)
Disease Focused Research (cardiovascular system disease)","Scientific Approaches
Descriptive Analysis: We will examine the distribution of cardiovascular risk factors, conditions, and outcomes among pregnant women in the cohort using summary statistics. These will include body mass index, chronic hypertension, diabetes, smoking, insurance status and others.
Outcomes: The primary outcome will be hypertensive disorders of pregnancy, including gestational hypertension and preeclampsia. Secondary outcomes are peripartum cardiomyopathy, pulmonary edema, stroke, and myocardial infarction.
Main Analysis: We will fit logistic regression models to estimate the associations between neighborhood-level economic, social, and environmental exposures (independent variables) and cardiovascular outcomes (dependent variables), adjusting for age, race/ethnicity and other relevant confounders. Effect modification by individual SES will be assessed.","Anticipated Findings
For this study, we expect to show treatment patterns using data and electronic health records from different sites across the country. We expect to find (1) variation in the medication sequences prescribed to treat All of Us participants who have type 2 diabetes and hypertension; (2) the most common medication used to treat participants as the first line therapy for type 2 diabetes and hypertension; (3) a trend or change over time in what is/are the most common medication(s) prescribed first over the study period; and (4) trend or change overtime for the percentage of participants who were treated using only one medication class (monotherapy). Importantly, the detailed code developed will be made available within the Researcher Workbench, so other researchers may more easily extract medication data and class information using a common medication ontology. We believe this approach will be useful in many discovery studies.","Demographic Categories of Interest
Race / Ethnicity
Geography
Access to Care
Education Level
Income Level","Data Set Used
Controlled Tier","Research Team
Owner:
Oluwabunmi Ogungbe
- Research Fellow, Johns Hopkins University
Collaborators:
Karan Parikh - Research Associate, Johns Hopkins University","Cardiovascular Outcomes in Minoritized Populations Objective: To investigate whether neighborhood-level measures of socioeconomic status, built environment, social cohesion, and access to resources are associated with hypertensive disorders of pregnancy and other adverse cardiovascular outcomes among pregnant women. Data Sources: We will leverage multiple data sources…","1. ['Owner', 'Research Fellow', 'Collaborator']
2. ['Oluwabunmi Ogungbe', 'Karan Parikh']
3. ['Johns Hopkins University']","['Owner', 'Research Fellow', 'Collaborator']","['Oluwabunmi Ogungbe', 'Karan Parikh']",['Johns Hopkins University'],2,2,1,FALSE
Cardiovascular Risk Factors Among Diabetes Patients,Are there specific genetic variants associated with increased risk of developing cardiovascular disease among patients with diabetes? What is the prevalence of cardiovascular genetic risk factors among the diabetic Hispanic population? Studying genetic variations linked to higher cardiovascular disease risk…,"Scientific Questions Being Studied
Are there specific genetic variants associated with increased risk of developing cardiovascular disease among patients with diabetes?
What is the prevalence of cardiovascular genetic risk factors among the diabetic Hispanic population?
Studying genetic variations linked to higher cardiovascular disease risk in diabetes individuals, especially in the Hispanic community, is essential for progressing personalize care and improving health outcomes. Identifying distinct genetic risk factors for cardiovascular disease in people with diabetes is the first step in developing personalized prevention and treatment approaches, especially in minority groups like US Hispanics. Further, a better understanding genetic predisposition may improve our biological understanding of cardiovascular disease in diabetics and facilitate specific therapies to lessen the burden of cardiovascular problems in this at-risk population.","Project Purpose(s)
Disease Focused Research (diabetes mellitus)
Ancestry","Scientific Approaches
Cohort selection: Create cohort of diabetic patients in the All of Us program. We will then identify patients who develop the outcome of interest (the presence of cardiovascular disease [CVD]).  Data collection: Data will be collected from the All of Us database. The data should include demographic details, clinical parameters, individuals' genetics and outcomes related to diabetes and CVD.
Generating Descriptive statistics of the population:
Statistical Analysis: The use of statistical software (eg. Python) to generate descriptive statistics for the diabetes cohort. It will include means and standard deviations for continuous variables and frequencies for categorical variables.
Candidate gene study to identify if candidate SNPs (rs6923761, rs57922, rs9299870) are associated with risk of CVD in diabetes patients. This will involve the association of these SNPs within cardiovascular disease among diabetic patients.","Anticipated Findings
Anticipated findings: Specific genetic variations, interacting with the glucagon-like peptide-1 (GLP-1) signaling system, provide a complex risk factor for cardiovascular disease in people with diabetes. We anticipate that genetic variations in the GLP-1 signaling system may impact the efficacy of GLP-1 receptor agonists by affecting insulin production, glucose metabolism, and atherosclerosis as well as overall cardiovascular risk. The study's findings are anticipated to improve our comprehension of why specific diabetes patients are more susceptible to cardiovascular problems and how their reaction to therapy can differ depending on genetic factors. This method not only seeks to enhance scientific understanding but also strives to tackle healthcare inequalities and enhance public health results by customizing interventions to suit the unique requirements of individual patients, according to their genetic makeup.","Demographic Categories of Interest
Race / Ethnicity","Data Set Used
Controlled Tier","Research Team
Owner:
Richard Mojica Velez
- Graduate Trainee, University of Puerto Rico Medical Sciences
Collaborators:
Valeria Miranda - Graduate Trainee, University of Puerto Rico Medical Sciences
Kyle Melin - Mid-career Tenured Researcher, University of Puerto Rico Medical Sciences
Jonathan Hernandez-Agosto - Early Career Tenure-track Researcher, University of Puerto Rico Medical Sciences
Bianca  Torres  - Early Career Tenure-track Researcher, University of Puerto Rico Medical Sciences",Cardiovascular Risk Factors Among Diabetes Patients Are there specific genetic variants associated with increased risk of developing cardiovascular disease among patients with diabetes? What is the prevalence of cardiovascular genetic risk factors among the diabetic Hispanic population? Studying genetic variations linked to higher cardiovascular disease risk…,"1. ['Owner', 'Graduate Trainee', 'Mid-career Tenured Researcher', 'Early Career Tenure-track Researcher', 'Early Career Tenure-track Researcher']
2. ['Richard Mojica Velez', 'Valeria Miranda', 'Kyle Melin', 'Jonathan Hernandez-Agosto', 'Bianca  Torres']
3. ['University of Puerto Rico Medical Sciences', 'University of Puerto Rico Medical Sciences', 'University of Puerto Rico Medical Sciences', 'University of Puerto Rico Medical Sciences', 'University of Puerto Rico Medical Sciences']","['Owner', 'Graduate Trainee', 'Mid-career Tenured Researcher', 'Early Career Tenure-track Researcher', 'Early Career Tenure-track Researcher']","['Richard Mojica Velez', 'Valeria Miranda', 'Kyle Melin', 'Jonathan Hernandez-Agosto', 'Bianca  Torres']","['University of Puerto Rico Medical Sciences', 'University of Puerto Rico Medical Sciences', 'University of Puerto Rico Medical Sciences', 'University of Puerto Rico Medical Sciences', 'University of Puerto Rico Medical Sciences']",5,5,1,FALSE
Maternal Health Complications of AA Women,"Cardiovascular complications during pregnancy, such as hypertension, preeclampsia, and gestational diabetes, pose significant health risks to both mothers and infants. African American women, particularly those belonging to younger age groups, are disproportionately affected by these conditions, experiencing higher rates of…","Scientific Questions Being Studied
Cardiovascular complications during pregnancy, such as hypertension, preeclampsia, and gestational diabetes, pose significant health risks to both mothers and infants. African American women, particularly those belonging to younger age groups, are disproportionately affected by these conditions, experiencing higher rates of maternal morbidity and mortality compared to their counterparts.
Despite advancements in medical care and prenatal monitoring, disparities in maternal health outcomes persist, highlighting the need for targeted research and interventions. Understanding the underlying factors contributing to cardiovascular complications among pregnant African American women is crucial for developing effective preventive strategies and improving maternal-fetal health outcomes.","Project Purpose(s)
Population Health
Social / Behavioral
Educational","Scientific Approaches
The methodology involves a comprehensive analysis of the All of Us dataset, incorporating both quantitative and qualitative approaches. Data variables related to cardiovascular health, pregnancy outcomes, socioeconomic status, and lifestyle factors will be analyzed using descriptive statistics, regression modeling, and thematic analysis. I will be utilizing statistical analyses located within the All Of Us platform to access datasets.","Anticipated Findings
Identify various risk factors associated with cardiovascular issues in this population. These factors could include socioeconomic status, demographic characteristics (such as education level, income), pre-existing health conditions, lifestyle factors (such as diet, physical activity), access to healthcare, and possibly genetic predispositions. Contribute to a better understanding of the underlying factors contributing to disparities in maternal health outcomes among African American women, particularly within the specified age range. This understanding is crucial for developing targeted interventions to mitigate these disparities and improve maternal-fetal health outcomes.","Demographic Categories of Interest
Race / Ethnicity
Age
Geography","Data Set Used
Registered Tier","Research Team
Owner:
Alexis Cunningham
- Graduate Trainee, Meharry Medical College","Maternal Health Complications of AA Women Cardiovascular complications during pregnancy, such as hypertension, preeclampsia, and gestational diabetes, pose significant health risks to both mothers and infants. African American women, particularly those belonging to younger age groups, are disproportionately affected by these conditions, experiencing higher rates of…","1. Roles: ['Owner', 'Graduate Trainee']
2. Names: ['Alexis Cunningham']
3. Institutions: ['Meharry Medical College']","['Owner', 'Graduate Trainee']",['Alexis Cunningham'],['Meharry Medical College'],1,1,1,FALSE
Cardiac burden scans,"We will examine variants in genes that have been associated with cardiovascular disease to determine whether those specific variants are associated with disease. This question is important because most individuals carry genetic variants in cardiovascular disease genes, but we do…","Scientific Questions Being Studied
We will examine variants in genes that have been associated with cardiovascular disease to determine whether those specific variants are associated with disease.  This question is important because most individuals carry genetic variants in cardiovascular disease genes, but we do not know if most of those variants are harmful or not.","Project Purpose(s)
Ancestry","Scientific Approaches
This work will use the All of Us whole genome sequence dataset, and the All of Us data from electronic medical record. We will find individuals with variants in our genes of interest, and then examine their electronic medical record data. We will use a variety of statistical methods to test for associations between genetic variants and cardiovascular disease.","Anticipated Findings
We anticipate that certain genetic variants will be associated with cardiovascular disease, and others will not be. By examining which kinds of variants are associated with disease - for example, those corresponding to a specific region of a protein of interest - we can improve our ability to identify individuals at risk of developing disease based on their DNA. This will lead to improved diagnosis and early treatment of cardiovascular disease.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Megan Lancaster
- Research Fellow, Vanderbilt University Medical Center","Cardiac burden scans We will examine variants in genes that have been associated with cardiovascular disease to determine whether those specific variants are associated with disease. This question is important because most individuals carry genetic variants in cardiovascular disease genes, but we do…","1. ['Owner', 'Research Fellow']
2. ['Megan Lancaster']
3. ['Vanderbilt University Medical Center']","['Owner', 'Research Fellow']",['Megan Lancaster'],['Vanderbilt University Medical Center'],1,1,1,FALSE
Rare variant CVD,"Early detection of cardiovascular diseases (CVD) is crucial for effective intervention and personalized medicine. Polygenic risk scores (PRS) have emerged as a promising tool for identifying individuals at high risk of developing CVD and other complex diseases. However, challenges exist…","Scientific Questions Being Studied
Early detection of cardiovascular diseases (CVD) is crucial for effective intervention and personalized medicine. Polygenic risk scores (PRS) have emerged as a promising tool for identifying individuals at high risk of developing CVD and other complex diseases. However, challenges exist in the utilization of PRS. Most PRS studies primarily focus on common variants, overlooking the potential contributions of rare variants, especially in intron and regulatory regions. Moreover, the portability of PRS to other ancestral populations, beyond European descent, is limited. To tackle these challenges this study will explore the impact of rare variants in the exon, intron and regulatory regions and its addition to PRS. By addressing these limitations, this study aims to improve prediction and risk assessment, thereby facilitating advancements in precision medicine and early intervention strategies.","Project Purpose(s)
Disease Focused Research (cardiovascular diseases)
Population Health
Social / Behavioral
Methods Development
Ancestry","Scientific Approaches
We will generate PRS for all samples in Allofus data using European population summary statistics or population specific summary statistics in different populations (where available). We will run rare-variant analysis using SAIGE and develop methods to integrate rare variants into the traditional PRS.","Anticipated Findings
We anticipate that inclusion of rare variants will improve the ability to predict cardiovascular outcomes. If successful our study will enable identification and stratification of patients who are at high risk for CVD, even before development CVD risk factors. Doing so may substantially reduce the public health burden of CVD.","Demographic Categories of Interest
Race / Ethnicity
Age
Geography","Data Set Used
Controlled Tier","Research Team
Owner:
Manu Shivakumar
- Graduate Trainee, University of Pennsylvania
Collaborators:
Seokho Jeong - Graduate Trainee, University of Pennsylvania","Rare variant CVD Early detection of cardiovascular diseases (CVD) is crucial for effective intervention and personalized medicine. Polygenic risk scores (PRS) have emerged as a promising tool for identifying individuals at high risk of developing CVD and other complex diseases. However, challenges exist…","1. ['Owner', 'Graduate Trainee', 'Graduate Trainee']
2. ['Manu Shivakumar', 'Seokho Jeong', 'Seokho Jeong']
3. ['University of Pennsylvania', 'University of Pennsylvania', 'University of Pennsylvania']","['Owner', 'Graduate Trainee', 'Graduate Trainee']","['Manu Shivakumar', 'Seokho Jeong', 'Seokho Jeong']","['University of Pennsylvania', 'University of Pennsylvania', 'University of Pennsylvania']",3,2,1,FALSE
"Discrimination, Social Determinants, and Cardiac Risk Factors in Cancer Patients","The purpose of this research study is to describe and examine the associations between discrimination, social determinants of health, and poor control of risk factors for cardiovascular disease among US adults with cancer. This project has the following aims: 1)…","Scientific Questions Being Studied
The purpose of this research study is to describe and examine the associations between discrimination, social determinants of health, and poor control of risk factors for cardiovascular disease among US adults with cancer.
This project has the following aims:
1) to describe disparities in everyday discrimination using sociodemographic factors (e.g., race and ethnicity) and
2) to examine the association between discrimination and the prevalence of poorly controlled risk factors for cardiovascular disease.
Completion of these aims will further our understanding of the role discrimination plays in the control of cardiovascular disease risk factors in cancer patients among a large, nationally diverse population.","Project Purpose(s)
Disease Focused Research (cancer)
Population Health
Social / Behavioral","Scientific Approaches
We plan to use the All of Us Controlled Tier Dataset v7 to conduct this research. We plan to include adults afflicted with the top 10 most prevalent cancers in the US as identified by the National Cancer Institute. First, we will describe healthcare and everyday discrimination, and social determinants of health by important sociodemographic characteristics. We will also define what constitutes whether a risk factor for cardiovascular disease that is poorly controlled. Secondly, we will employ regression modeling to examine the relationship between discrimination and prevalence of poor control of cardiovascular disease risk factors using measures of social determinants of health as covariates.","Anticipated Findings
We hypothesize that participants with higher levels of discrimination will be associated with a higher prevalence of poorly controlled cardiovascular disease risk factors. In addition, these relationships will vary by social identity such as race/ethnicity. We also hypothesize that discrimination will be independently associated with poor control of risk factors after adjustment for social determinants of health such as education, income, etc.","Demographic Categories of Interest
Race / Ethnicity
Age
Geography
Access to Care
Education Level
Income Level","Data Set Used
Controlled Tier","Research Team
Owner:
Avirup Guha
- Early Career Tenure-track Researcher, Augusta University
Collaborators:
Ritu Reddy - Graduate Trainee, Augusta University
Aditya Bhave - Graduate Trainee, Augusta University
Jie Chen - Late Career Tenured Researcher, Augusta University
Carleigh Litteral - Graduate Trainee, University of Kentucky
William Burrows - Graduate Trainee, University of Kentucky","Discrimination, Social Determinants, and Cardiac Risk Factors in Cancer Patients The purpose of this research study is to describe and examine the associations between discrimination, social determinants of health, and poor control of risk factors for cardiovascular disease among US adults with cancer. This project has the following aims: 1)…","1. ['Owner', 'Collaborator', 'Collaborator', 'Collaborator', 'Collaborator', 'Collaborator']
2. ['Avirup Guha', 'Ritu Reddy', 'Aditya Bhave', 'Jie Chen', 'Carleigh Litteral', 'William Burrows']
3. ['Augusta University', 'Augusta University', 'Augusta University', 'Augusta University', 'University of Kentucky', 'University of Kentucky']","['Owner', 'Collaborator', 'Collaborator', 'Collaborator', 'Collaborator', 'Collaborator']","['Avirup Guha', 'Ritu Reddy', 'Aditya Bhave', 'Jie Chen', 'Carleigh Litteral', 'William Burrows']","['Augusta University', 'Augusta University', 'Augusta University', 'Augusta University', 'University of Kentucky', 'University of Kentucky']",6,6,2,TRUE
Gout by Ethnicity,"Gout is an inflammatory metabolic disease affecting > 4% of US adults, including > 9% of those over age 65. People with gout can experience very painful and disabling attacks (flares) in their joints and are more likely to have…","Scientific Questions Being Studied
Gout is an inflammatory metabolic disease affecting > 4% of US adults, including > 9% of those over age 65.  People with gout can experience very painful and disabling attacks (flares) in their joints and are more likely to have cardiovascular disease and other chronic conditions.
Gout results from high levels of uric acid in the blood (hyperuricaemia) and studies by our group and others have identified many environmental, clinical, and genetic factors associated with gout. These include diuretic medications (increased risk), and coffee and vitamin C (decreased risk).  However, despite evidence that gout is having a greater impact on men and women in non-White racial groups in the US, most factors were identified in people of self-reported White race.
To address these gaps, we are exploring the AllofUs data to plan future studies on the environmental, genetic, and clinical factors associated with gout (or worse gout outcomes) in women and men of different racial/ethnic groups.","Project Purpose(s)
Disease Focused Research (Gout and Hyperuricaemia)
Population Health
Ancestry","Scientific Approaches
We anticipate using the EHR data and self-reported survey data to classify participants’ gout status and uric acid levels.  The EHR, survey, and physical measurements and Fitbit data will be used to classify clinical and environmental factors potentially impacting gout, as well as gout-related chronic conditions.
We anticipate using logistic regression models to evaluate the association between exposures and the risk of gout or hyperuricemia, adjusting for well-established gout risk factors such as overweight/obesity and use of diuretic medications.  We will also assess for joint effects and interactions between exposures, including genetic exposures drawn from the Genomics dataset.  For example, our prior analysis of a different cohort of mainly White adults found that excess BMI can exacerbate the impact of carrying certain hyperuricemia genes on the risk of gout.  Mediation analysis will be performed to quantify factors influencing sex- or racial differences in the burden of gout.","Anticipated Findings
The anticipated findings are expected to enhance our understanding of the risk factors and burden of gout, especially in understudied sociodemographic groups who are particularly impacted by this chronic and disabling disease.  This knowledge could inform efforts to help improve prevention and care.","Demographic Categories of Interest
Race / Ethnicity
Age","Data Set Used
Registered Tier","Research Team
Owner:
Bohang Jiang
- Project Personnel, Mass General Brigham","Gout by Ethnicity Gout is an inflammatory metabolic disease affecting > 4% of US adults, including > 9% of those over age 65. People with gout can experience very painful and disabling attacks (flares) in their joints and are more likely to have…","1. ['Owner', 'Project Personnel']
2. ['Bohang Jiang']
3. ['Mass General Brigham']","['Owner', 'Project Personnel']",['Bohang Jiang'],['Mass General Brigham'],1,1,1,FALSE
Socioeconomic Stress and Vascular Phenotypes,"It is well established that heart rate variability diminishes in older white individuals, and that there is a correlation between cardiovascular disease and diminished heart rate variability in white individuals. However, heart rate variability is less well understood in non-white…","Scientific Questions Being Studied
It is well established that heart rate variability diminishes in older white individuals, and that there is a correlation between cardiovascular disease and diminished heart rate variability in white individuals. However, heart rate variability is less well understood in non-white communities, and is likely linked to other disease indicators, especially in groups susceptible to socioeconomic stress and social determinants of health. Thus, this study will seek to identify correlations between heart rate, blood pressure, metrics of arterial stiffness (e.g., load versus structural stiffness), and socioeconomic variables.","Project Purpose(s)
Disease Focused Research (hypertension)","Scientific Approaches
I will use diverse datasets and contrast these parameters across education level, income, race, and other social metrics, such as survey data.","Anticipated Findings
I anticipate a lager load dependent stiffness in groups suffering from higher social stress, and that their heart rate variability will be relatively unchanged, supporting the idea that heart rate variability is difficult to use in groups under consistent stress.","Demographic Categories of Interest
Race / Ethnicity
Age
Geography
Education Level
Income Level","Data Set Used
Controlled Tier","Research Team
Owner:
Mitchel Colebank
- Research Fellow, University of California, Irvine","Socioeconomic Stress and Vascular Phenotypes It is well established that heart rate variability diminishes in older white individuals, and that there is a correlation between cardiovascular disease and diminished heart rate variability in white individuals. However, heart rate variability is less well understood in non-white…","1. ['Owner', 'Research Fellow']
2. ['Mitchel Colebank']
3. ['University of California, Irvine']","['Owner', 'Research Fellow']",['Mitchel Colebank'],"['University of California, Irvine']",1,1,1,FALSE
Natarajan Lab CHIP GWAS Summary stats,"Clonal hematopoiesis of indeterminate potential (CHIP) is a common, age-related phenomenon in which hematopoietic stem cells in the bone marrow acquire somatic mutations that lead to overgrowth of a genetically distinct subpopulation of blood cells. The prevalence of CHIP detectable…","Scientific Questions Being Studied
Clonal hematopoiesis of indeterminate potential (CHIP) is a common, age-related phenomenon in which hematopoietic stem cells in the bone marrow acquire somatic mutations that lead to overgrowth of a genetically distinct subpopulation of blood cells. The prevalence of CHIP detectable through next-generation sequencing of blood DNA is up to 10% of adults >70 years and nearly 20% of adults >90 years. CHIP has major implications for human health as a risk factor for age-related chronic diseases including hematologic cancers, atherosclerotic cardiovascular disease, congestive heart failure, stroke, chronic obstructive pulmonary disease, osteoporosis, and all-cause mortality. We performed GWAS for CHIP in AoU. This workspace to store CHIP GWAS summary stats.","Project Purpose(s)
Ancestry","Scientific Approaches
Perform genome-wide association for genetic determinant of CHIP: GWAS for overall CHIP (top CHIP genes) will be performed using REGENIE software, adjusting for relevant covariates.
Meta-analysis of CHIP GWAS Summary stats for AoU WGS, UKB, and other cohorts using GWAMA, METAL, and MR-MEGA.","Anticipated Findings
Anticipated findings are: Aim 1: distribution of CHIP genes, clone size, prevalence of CHIP in the All of Us participants. Aim 2: association of CHIP with incident phenotypes Aim 3: identification and replication of genetic loci associated with CHIP We hope the findings will shed light on the association of CHIP mutations with various disease phenotypes.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Md Mesbah Uddin
- Research Fellow, Broad Institute
Collaborators:
Zhi Yu - Research Fellow, Broad Institute
TETSUSHI NAKAO - Research Fellow, Broad Institute
Sarah Urbut - Research Fellow, Broad Institute
Satoshi Koyama - Research Fellow, Broad Institute
Rohan Bhukar - Project Personnel, Broad Institute
Buu Truong - Research Fellow, Broad Institute","Natarajan Lab CHIP GWAS Summary stats Clonal hematopoiesis of indeterminate potential (CHIP) is a common, age-related phenomenon in which hematopoietic stem cells in the bone marrow acquire somatic mutations that lead to overgrowth of a genetically distinct subpopulation of blood cells. The prevalence of CHIP detectable…","1. ['Owner', 'Research Fellow', 'Research Fellow', 'Research Fellow', 'Research Fellow', 'Project Personnel', 'Research Fellow']
2. ['Md Mesbah Uddin', 'Zhi Yu', 'TETSUSHI NAKAO', 'Sarah Urbut', 'Satoshi Koyama', 'Rohan Bhukar', 'Buu Truong']
3. ['Broad Institute', 'Broad Institute', 'Broad Institute', 'Broad Institute', 'Broad Institute', 'Broad Institute', 'Broad Institute']","['Owner', 'Research Fellow', 'Research Fellow', 'Research Fellow', 'Research Fellow', 'Project Personnel', 'Research Fellow']","['Md Mesbah Uddin', 'Zhi Yu', 'TETSUSHI NAKAO', 'Sarah Urbut', 'Satoshi Koyama', 'Rohan Bhukar', 'Buu Truong']","['Broad Institute', 'Broad Institute', 'Broad Institute', 'Broad Institute', 'Broad Institute', 'Broad Institute', 'Broad Institute']",7,7,1,FALSE
